"marketTicker","eventTitle","marketTitle","closeDate","volume","yesPrice","noPrice","lastTradePrice","position","averagePrice","exposure","positionReturns","lockedInReturns","totalReturns"
"KXABNB-26AUGNEB-P144000000","Airbnb bookings in Q2","Above 144 million","Sep 4, 2026 at 4:00pm EDT","3449","93¢","13¢","87¢","No x 2","14¢","$0.26","-$0.02","$0.00","-$0.02"
"KXABNB-26AUGNEB-P147000000","Airbnb bookings in Q2","Above 147 million","Sep 4, 2026 at 4:00pm EDT","2986","44¢","61¢","39¢","No x 2","63¢","$1.22","-$0.03","$0.00","-$0.03"
"KXABNB-26AUGNEB-P153000000","Airbnb bookings in Q2","Above 153 million","Sep 4, 2026 at 4:00pm EDT","4964","4¢","99¢","4¢","Yes x 2","4¢","$0.08","-$0.01","$0.00","-$0.01"
"KXALPRIMARY-01R26-JCAR","AL-01 Republican nominee?","Jerry Carl","Nov 3, 2027 at 11:00am EDT","14493.67","98.5¢","98.9¢","86¢","No x 1","22¢","$0.21","-$0.08","$0.00","-$0.08"
"KXWCSCORE-26JUL01BELSEN-BEL3SEN2","Belgium vs Senegal: Regulation Time Correct Score","Reg Time: Belgium wins 3-2","Jul 15, 2026 at 4:00pm EDT","435.28","3¢","98¢","3¢","Yes x 1","3¢","$0.03","-$0.00","$0.00","-$0.00"
"KXBRPRES-26-EBOL","Brazil Presidential election winner?","Eduardo Bolsonaro","Oct 25, 2027 at 10:00am EDT","229","0.3¢","99.9¢","0.3¢","Yes x 1","0¢","$0.00","-$0.00","$0.00","-$0.00"
"KXBRPRES-26-JB","Brazil Presidential election winner?","Jair Bolsonaro","Oct 25, 2027 at 10:00am EDT","119791","1¢","99.3¢","1¢","Yes x 1","1¢","$0.01","-$0.00","$0.00","-$0.00"
"KXBRPRES-26-TDF","Brazil Presidential election winner?","Tarcísio de Freitas","Oct 25, 2027 at 10:00am EDT","220450","0.4¢","99.9¢","0.4¢","Yes x 1","0¢","$0.00","-$0.00","$0.00","-$0.00"
"KXAFLGAME-26JUL020530BRIGEE-BRI","Brisbane Lions vs Geelong Cats","Brisbane Lions","Jul 16, 2026 at 5:30am EDT","229.16","35¢","66¢","35¢","No x 2","70¢","$1.36","-$0.09","$0.00","-$0.09"
"KXAFLGAME-26JUL020530BRIGEE-GEE","Brisbane Lions vs Geelong Cats","Geelong Cats","Jul 16, 2026 at 5:30am EDT","856.53","64¢","37¢","68¢","No x 2","36¢","$0.68","-$0.07","$0.00","-$0.07"
"KXAFLGAME-26JUL040535CFCRIC-CFC","Carlton Blues vs Richmond Tigers","Carlton Blues","Jul 18, 2026 at 5:35am EDT","130215.65","86¢","15¢","87¢","No x 2","14¢","$0.26","-$0.02","$0.00","-$0.02"
"KXAFLGAME-26JUL040535CFCRIC-RIC","Carlton Blues vs Richmond Tigers","Richmond Tigers","Jul 18, 2026 at 5:35am EDT","123","14¢","87¢","12¢","No x 2","89¢","$1.76","-$0.01","$0.00","-$0.01"
"KXAFLGAME-26JUL040215COLGCS-COL","Collingwood Magpies vs Gold Coast Suns","Collingwood Magpies","Jul 18, 2026 at 2:15am EDT","13.5","41¢","60¢","39¢","No x 2","63¢","$1.22","-$0.03","$0.00","-$0.03"
"KXAFLGAME-26JUL040215COLGCS-GCS","Collingwood Magpies vs Gold Coast Suns","Gold Coast Suns","Jul 18, 2026 at 2:15am EDT","2","59¢","42¢","59¢","No x 2","43¢","$0.82","-$0.03","$0.00","-$0.03"
"KXALBUMEQUIV-CON26JUL09-20K","CONFESSIONS II: First Week Album Equivalent Units","Above 20K","Jul 12, 2026 at 10:00am EDT","127","99¢","3¢","97¢","No x 1","3¢","$0.03","-$0.00","$0.00","-$0.00"
"KXALBUMEQUIV-CON26JUL09-40K","CONFESSIONS II: First Week Album Equivalent Units","Above 40K","Jul 12, 2026 at 10:00am EDT","621.34","94¢","22¢","90¢","No x 1","9¢","$0.08","+$0.01","$0.00","+$0.01"
"KXALBUMEQUIV-CON26JUL09-50K","CONFESSIONS II: First Week Album Equivalent Units","Above 50K","Jul 12, 2026 at 10:00am EDT","1181.5","90¢","55¢","91¢","No x 1","10¢","$0.09","-$0.01","$0.00","-$0.01"
"KXALBUMEQUIV-DAU26JUL23-85K","Daughter From Hell: First Week Pure Album Sales","Above 85K","Jul 26, 2026 at 10:00am EDT","979.11","61¢","48¢","52¢","No x 1","50¢","$0.48","-$0.02","$0.00","-$0.02"
"KXALBUMEQUIV-DAU26JUL23-90K","Daughter From Hell: First Week Pure Album Sales","Above 90K","Jul 26, 2026 at 10:00am EDT","1546.95","52¢","52¢","48¢","No x 1","54¢","$0.52","-$0.02","$0.00","-$0.02"
"KXALBUMEQUIV-DAU26JUL23-95K","Daughter From Hell: First Week Pure Album Sales","Above 95K","Jul 26, 2026 at 10:00am EDT","1663.56","47¢","60¢","48¢","No x 1","66¢","$0.64","-$0.14","$0.00","-$0.14"
